,DEL-11-m,DEL-11-p,DEL-13-m,DEL-13-p,DUP-11-m,DUP-11-p,longdm,longdp,completem,completep
DEL-11-m,-6089.85562287,-6244.57367879,nan,-5993.94373642,-5994.14024913,nan,-6148.66322086,-6066.99216716,-5949.66581256,-6061.1167048,
DEL-11-p,-6325.28988565,-5996.44825905,nan,-5683.2145974,-5984.39407182,nan,-6514.27140112,-4882.23044692,-5916.5105864,-6262.74957686,
DEL-13-m,-6122.59561574,-6116.01607482,-5971.90800506,-5819.50547078,-5926.55793464,-5935.93853839,-6236.02864202,-5582.85355921,-5870.95818349,-6078.94554966,
DEL-13-p,-6446.65637501,-6041.86539472,nan,-5642.25441784,-6018.31361994,nan,-6697.23829872,-4637.10468214,-5930.0266594,-6373.1038452,
DUP-11-m,-6169.13464884,-6066.21376276,nan,-5743.54677349,-5915.13736449,nan,-6316.66962707,-5319.39094813,-5851.31424374,-6117.98131473,
DUP-11-p,-6143.92976578,-6098.01175359,-5976.14709239,-5781.36968321,-5918.89023687,-5931.57413786,-6277.97468256,-5457.67695048,-5856.76561863,-6097.42330792,
longdm,-6118.55807391,-6423.53289313,nan,-6216.47736875,-6112.94617309,nan,-6120.44016639,-6585.50374268,-6082.54194181,-6100.16221171,
longdp,nan,nan,nan,nan,nan,nan,nan,-3268.11261335,nan,nan,
completem,-6193.41236333,-6065.54206428,nan,-5723.74876693,-5918.09846336,nan,-6357.85913742,-5238.41073585,-5848.33735434,-6140.48714232,
completep,-6092.02342507,-6209.60022544,nan,-5950.50329216,-5973.81934967,nan,-6161.05754402,-5955.11031475,-5927.79517638,-6059.06855499,
